A-1	絶好調！あなたの魅力が自然にこぼれて、片想いも実る暗示です。
B-34	めくるめくようなエッチが楽しめそう。愛に満ちた幸福な時間を。
C-34	欲望のまま行動して。ベッドであなたの魅力が引き出される暗示。
D-34	エッチ要求の高い日。快楽に身を任せて相手をリードしましょう。
E-34	愛する喜びが肌で感じられそう。お互いの愛情を再確認できそう。
F-34	肉体的に相性の良い相手との巡り会いが。身も心も満たされます。
G-34	満ち足りた気分を味わえるラッキーデー。あの人とベッドインも？
H-34	心も体もひとつになって相手を愛しく感じることのできる日。
I-34	心も体も満足いくエッチができそう。全身で愛してあげましょう。
J-34	理想的なセックスができる日。気持ちもタイミングもピッタリ。
K-34	気持ちに素直に行動して。心も体もピッタリ重なる至福の時間が！
L-34	カラダの奥から愛する幸せに満たされるはず。気持ちもシックリ。
A-35	順調です。ふたりのバイオリズムがぴったり重なるでしょう。
B-35	カラダの波長がぴったりで大満足。伝え合って楽しみましょう。
C-35	今日のセックスは相性もバッチリ。優しさが幸せの鍵。
D-35	ベッドインの予感。カップルは音楽や香り、目隠し等で演出を。
E-35	セックスで心も体もリフレッシュ！イライラも吹き飛ばせそう。
F-35	お互いのリズムがピッタリの充実したエッチができるでしょう。
G-35	エッチで二人の愛が深まる予感。ストレートに自分の気持ちを！
H-35	エッチがイイ気分転換になるみたい。不愉快な出来事もスッキリ。
I-35	心身ともにリラックスできるエッチに。肌のぬくもりを楽しんで。
J-35	精神的な満足感を得られる日。ただ抱き合っているだけでＯＫ。
K-35	肌の温もりに愛しさがわきしっとりした気持ちにさせてくれそう。
L-35	ストレスがたまっている人は、ベッドでリフレッシュできそう。
A-36	リッチ＆ゴージャスな演出を。ソフトＳＭもオススメです。
B-36	ビデオや小道具でもっと大胆に刺激を取り入れてみて。
C-36	刺激的なセックスで絆がより強く。違ったプレイにトライしよう。
D-36	今までにない刺激的なエッチかも。ちょっとアブノーマルにして。
E-36	ムードのある演出で気持ちが高まりそう。甘いピロートークもね。
F-36	エッチへの関心が高まる日。少々のアブノーマルな行為もＯＫ。
G-36	お風呂で背中を流しあったり、ナイトウェアーを新調するのも吉。
H-36	キッチンやバスルームでは、いかが？違った快感が得られそう。
I-36	その気にさせるには、ホメちぎり作戦が効果大。テレないで。
J-36	ロマンチックな気分が運気を上昇。内緒でホテルを予約して。
K-36	セックスへの好奇心が盛り上がる暗示。いつもと違ったエッチを。
L-36	大人の色香を演出すると吉。一流ホテルで贅沢に楽しみましょう。
A-37	いつものパターンにひねりを加えて。ほんの少しの冒険に吉が。
B-37	肌の触れ合いやコスチュームプレイでマンネリを打破しよう。
C-37	いつもと違った場所が、刺激的なエッチへの鍵。工夫してね。
D-37	マンネリ感があれば今日のエッチが解決しそう。ラブホテルが吉。
E-37	マンネリ気味のカップルはノリでソフトＳＭが新鮮な感じかも。
F-37	いつもとは違うテクや演出で新たな快楽や刺激を得られそう。
G-37	少量のアルコールやラブシーンの多い映画で、気分を盛り上げて。
H-37	香りが、セクシームードを高めてくれそう。ムスクの香水が吉。
I-37	より強いエクスタシーを感じたい日。新しいテクや小道具で。
J-37	いつもとは違う場所でのエッチがおすすめ。未知の快感アリ。
K-37	セックスにマンネリを感じるかも。して欲しい事を素直に伝えて。
L-37	探求心が旺盛に。マンネリ・カップルにはＡＶがイイ刺激かも。
A-38	最初にマッサージしあうと吉。のびのびとリラックスできるはず。
B-38	快楽のエッチに惹かれそう。快感は愛情次第ですよ。
C-38	素直に、そして相手に尽くして吉。それが大満足なエッチに。
D-38	ボディに磨きをかけたり外見に気を配って吉。新鮮な二人に…。
E-38	スキンシップを大切に。テクよりも温もりを感じる優しい愛撫を。
F-38	明るく軽いノリでエッチを楽しめそう。ゲームのあるホテルが吉。
G-38	セクシーな異性を紹介してもらえるかも。ベッドインの可能性も。
H-38	気になるあの人とベッドインのチャンス！スキンシップを大切に。
I-38	エッチ友達が登場しそう。割り切って楽しむイイ関係になれそう。
J-38	さわやかなエッチができそう。ケンカも仲直りするきっかけに。
K-38	優しい気持ちで、大事に思われていると実感できるセックスに。
L-38	セックスによって気持ちが潤う暗示。気持ちを素直に表現して。
A-39	なにげない表情や仕草がとってもセクシー。モテモテの暗示です。
B-39	ロマンチックな体験ができそう。アロマテラピーを取り入れて。
C-39	会話と熱い抱擁で素直に快感を求められそう。時間をかけて吉。
D-39	好奇心がラッキーポイント。新しいテクを大胆にチャレンジして。
E-39	ついにベッドインできそう。ムード作りで口説き落としましょう。
F-39	セクシーな相手の魅力に身も心も陶酔し、満足度の高いエッチに。
G-39	心が通じ合ったいつも以上の満足感が得られるエッチになるはず。
H-39	ベッドでの甘いささやきが気持ちを高めてくれそう。映画の様に。
I-39	セックス運大吉！心も体もかなり敏感。最高の悦びを感じます。
J-39	心も体も開放的で気持ちいいセックスができそう。大胆になろう。
K-39	なかなかのラッキーデー。異性の反応がとても好意的でしょう。
L-39	最近元気がない人も今日はエネルギッシュでどん欲なセックスが。
A-40	雰囲気に流されると後悔しそうです。ノー！はハッキリと。
B-40	きょうのエッチは欲求不満。心もカラダも満たされません。
C-40	不倫願望が高まる暗示アリ。ヤケドに注意。病気にも要注意！
D-40	身体が感じないのはサヨナラかも？心のすき間は身体じゃダメ。
E-40	セックスに強い刺激を求めがちな日。スキンシップで愛情表現を。
F-40	欲望に負け、好きでもない相手とベッドインしても空しいだけ。
G-40	相手のペースに流され優柔不断に。後悔しない様避妊はキチンと。
H-40	浮気願望が高まりそうな日。相手にバレるおそれもアリ。注意！
I-40	気持ちにアセリがありそう。快楽を求めすぎるとシラケさせます。
J-40	相手にバリエーションを強要すると人格を疑われそう。程々に。
K-40	ソノ気のない相手とベッドインしかねない暗示。意志をハッキリ！
L-40	快楽を追求する願望が強まりそう。行きずりの人とベッドインも。
A-41	「探求心」がきょうのキーワード。ただし、やり過ぎは逆効果に。
B-41	愛情の再確認できるエッチになるでしょう。くつろいだ気持ちで。
C-41	ピンクな気分？素直に心まで裸になってハッピーなエッチを。
D-41	今日のセックス運はなかなかイイかも。カラダと心で愛し合って。
E-41	今日のエッチのポイントは、思いやりをカラダで表現する事。
F-41	ちょっとスノッブに気取ったデートが効果的。リッチなホテルで。
G-41	今日のセックスは変化に吉運が。いつもとは違った愛し方で。
H-41	エッチ感度が高い日。入浴剤を変えてみたりすると、ラッキーが。
I-41	いつもとは違ったセックスに興味が。ソフトＳＭで遊び心を刺激。
J-41	オススメは、ナイン・ハーフみたいな世界。相手も応じるはず。
K-41	今日は積極的にエッチを楽しんで吉。何か新しい発見があるはず。
L-41	今日はベッドで思いきり甘えましょう。きっと相手も嬉しいはず。
A-42	気持ちがかみ合わず、お互いに少し不機嫌になってしまうかも。
B-42	思いやりやムードを大切に。強引なセックスは関係にヒビが。
C-42	物足りないエッチかも。優しい気持ちでカラダより心の満足を。
D-42	セックストラブルの暗示。セクハラで不愉快な思いを味わうかも。
E-42	強引すぎると、相手がシラケそう。コミュニケーションを大切に。
F-42	親友や知人の恋人とベッドインするかも。でも後ろめたさが…。
G-42	二人の気持ちのズレからタイミングが今ひとつ。シラケ顔はＮＧ。
H-42	独占欲がむき出しになりそう。相手に対して心配りや思いやりを。
I-42	あなたの強引さでギクシャクしそう。相手の心のサインを大切に。
J-42	デリカシーが要求される日。成り行きでも、避妊は忘れずに。
K-42	身勝手が過ぎるとあなたの人格への不信感につながりそう。注意！
L-42	セックスに関係したトラブルに注意！欲望が暴走しやすい暗示。
A-43	取引きめいた不純な匂いが・・・。純な気持ちを忘れないこと。
B-43	心からエッチが楽しめないかも。恥ずかしがらずに伝え合おう。
C-43	気乗りしないエッチは断った方が賢明。疲労感を味わうかも。
D-43	ストレスからエッチ意欲がわかないかも。何もせず添い寝が一番。
E-43	疲労感からその気になれない日。不愉快にさせないように断って。
F-43	二人の間に溝を作りそう。相手を傷つけないよう優しく説得して。
G-43	不満の残るセックスになりそう。ベッドでは余計な事は考えずに。
H-43	今日のエッチは情熱的な気分が欠けがち。余計な事は考えないで。
I-43	相手に不信感を抱いてしまいそう。ベッドインしても虚しいだけ。
J-43	セックスに倦怠感を覚えるかも。気が乗らないなら優しく断って。
K-43	今日のエッチは、義務と演技の暗示が濃厚。冷ややかな雰囲気が。
L-43	今日のエッチには義務と責任がついてまわりそう。結婚や妊娠も。
A-44	愛する人の肌の温もりが、あなたの心を優しく癒してくれるはず。
B-44	思いきり演出に凝ってみて。小道具や下着、ビデオで刺激を！
C-44	エッチまでストレートに進んでしまいそうな出会いがあるかも。
D-44	倦怠気味のカップルはストーリー仕立てのエッチがイイ刺激に。
E-44	ぎこちなくても二人が自然に求めるエッチがラッキーを。
F-44	今日の媚薬は可愛いいジェラシー。恋人未満は初エッチかも。
G-44	さり気ないスキンシップが今日のラッキーを呼ぶでしょう。
H-44	仕事中でも妄想が駆け巡る様な、セクシーな異性と出会う暗示が。
I-44	大人の関係でいられる相手と出会いが。パソコン通信がラッキー。
J-44	二人のリズムがよく合って自然に快感を登りつめられるでしょう。
K-44	なかなか好調。ホメ言葉や優しい愛撫を惜しまず、たっぷりと。
L-44	今日のラッキーは、愛の言葉。素直に言葉にする事でスムーズに。
A-45	セクハラまがいに馴れ馴れしい人物の暗示が。無視するのが一番。
B-45	乗り気でないセックスはしないで。苦い後悔をしそう。
C-45	カラダも心もぐったりで今日のエッチはゴメンナサイ。
D-45	発情気味で、危険な展開が待っているかも。つまみ食いはＮＧ。
E-45	セックスよりも優しい抱擁や、いたわりの言葉が必要のようね。
F-45	少々被害妄想的かな。今日のあなたはエッチなしでくつろいで。
G-45	今日のセックスは残念ながら不満足の暗示。味気ないエッチに…。
H-45	身勝手に盛り上がってちぐはぐなエッチに。ペースダウンを意識。
I-45	パートナーに誘惑の魔の手が。相手はかなりテクニシャン。注意！
J-45	気の進まないエッチになりそうな暗示。無理せずノーが賢明かも。
K-45	自分はヤル気満々でも相手のノリが悪くガッカリ。諦めましょう。
L-45	今日はいまひとつパッとしないよう。気持ちに余裕がないかもね。
A-46	自信喪失の暗示が。ノリ気でないエッチは避けた方が無難です。
B-46	リズムが合わず不完全燃焼に終わりそう。エッチ批評は禁物！
C-46	不感症気味でエッチに自信をなくしそう。軽いキスぐらいにね。
D-46	きょうのエッチは少し気がのらないかも。プライドがズタズタに。
E-46	義務感だけのセックスではお互いに満足感は得られません。
F-46	きょうのあなたはパワー不足。ベッドインはパスした方が賢明。
G-46	義務と演技のセックスになってしまいそう。気持ちをリラックス！
H-46	エッチに義務感を感じてしまいシラケそう。無理をしないで。
I-46	マンネリ気味の二人は、エッチもおざなり。ケンカになるかも。
J-46	自分の体やテクにコンプレックスを感じそう。ハートでカバー！
K-46	今日はツイていない事を覚悟。何か劣等感を味わいそうな暗示。
L-46	セックスへの情熱が不足気味です。精神的なつながりを大事に！
A-47	ガツガツとカラダだけを求めてしまいそう。トラブルの暗示アリ。
B-47	トラブルに発展しそうなセックスの暗示。仕事にも影響が。注意！
C-47	強引なセックスが原因でケンカの暗示。お互いの気持ちを大切に。
D-47	信じられないほど大胆な行動の暗示。行きずりの情事や映画の様。
E-47	自分だけの快楽を追求してしまいそう。相手の気持ちになって。
F-47	快楽を求めアブノーマルな世界を体験しそうな暗示。罠にご用心。
G-47	独占欲がむき出しになる暗示。気持ちをセーブして時間をかけて。
H-47	エッチへの欲求が高まりますが、気持ちだけが先走り虚しいだけ。
I-47	自分だけの情熱で、少々強引かも。信頼関係にまでひびきそう。
J-47	あなたの態度が相手を傷つけるかも。今日のエッチはいたわりを。
K-47	風俗関係やセクハラなど、洒落にならないトラブルの暗示。注意！
L-47	アブノーマルなセックスに興味がわきそう。無理強いはＮＧ。
A-48	強引な誘いがありそうです。ただし、強烈な後悔もセットのよう。
B-48	きょうのエッチは要注意。相手のストーカーまがいのトラブルも。
C-48	今日の浮気は発覚する可能性大！イイ気になると面倒なことに。
D-48	欲求不満が大爆発！アバンチュールに身をゆだねる危険な暗示。
E-48	危険な誘惑がありそう。でも、ダメージを受ける結果に。要注意。
F-48	エッチに物足りなさを感じそう。行きずりの人とは必ず後悔が。
G-48	不倫願望が高まってる予感。この相手は確実にトラブルメーカー！
H-48	危険な匂いのする相手に強く魅かれそう。修羅場になる事も。
I-48	魅力的な異性と出会う予感。でも、上手く逃げた方が賢明かも。
J-48	不倫にドンドンはまる危険な暗示。手を切るなら今日がチャンス！
K-48	危険な不倫の暗示が濃厚に出ています。失うものはとても大きい。
L-48	強烈な不倫願望がわきそう。魅力的な異性も登場。代償を覚悟！
A-49	大胆な刺激を楽しもう。マンネリ気味の人も情熱的になれそう。
B-49	今夜は出会った頃のような情熱と愛情でセックスを楽しめそう。
C-49	情熱が高まり、愛情豊かなセックスが楽しめて心も充実。
D-49	活力がみなぎり自分でも驚くほど大胆にセックスを楽しめそう。
E-49	セクシーな魅力が高まり、パートナーとも情熱的なひとときを。
F-49	パートナーの積極的な行動に驚きながらも最高の気分に。
G-49	今日はエネルギー全開で二人の愛を確かめ合いましょう。
H-49	夫婦のセックスで身も心もイキイキした気分になれる好調の日。
I-49	あなたの魅力が発揮されてマンネリした夫婦間がリフレッシュ。
J-49	今日のあなたはとてもセクシー。パートナーから強く迫られそう。
K-49	最近セックスレスの夫婦も今夜をきっかけに復活できそう。
L-49	あなたのセクシーさでマンネリ気味の夫婦生活が復活しそう。
A-50	今夜はのびのびと愛が交わせ、深い満足を得られるはず。
B-50	官能的なセックスが期待できそう。あなたからリードしてみて。
C-50	セックスであなたの魅力が倍増。欲望を抑えないように。
D-50	セックスによって夫婦関係が好転。労り合うと絆が深まりそう。
E-50	夫婦のセックス日にはもってこいの日。思い切り甘えてみよう。
F-50	心地よいセックスが体感できそう。互いの望みがピンとわかる。
G-50	情熱や刺激には欠けるけど、満ち足りた気分を味わえそう。
H-50	夫婦の会話が弾む日。恋人時代に戻ったような気分に浸れそう。
I-50	同じセックスなのに今日は満たされた幸福感を味わえそう。
J-50	理想的なセックスが体験できる日。お互いの気持ちがピッタリ。
K-50	夫婦の絆がセックスによってしっかり結ばれる暗示あり。
L-50	今日はお互いに相性の良さと心の絆の深さを再確認できそう。
A-51	下着に凝ってみるといいことが。いつもと違う演出が効果絶大に。
B-51	感じたままを素直に伝えることで夫婦関係がしっくりくるはず。
C-51	相手を包み込むような優しいセックスが幸せのカギになりそう。
D-51	ちょっとした演出をするとぐっと濃厚なセックスが楽しめそう。
E-51	セックスによって心も体もリフレッシュできてイライラも解消！
F-51	快楽よりも精神的な悦びを得るセックスで心が一つになれそう。
G-51	心が通い合う日。自分の要求を素直に相手に伝えてみよう。
H-51	夫婦のセックス相性がよい日。サービス精神を発揮しよう。
I-51	互いのリズムがピッタリあう心から楽しいセックスができそう。
J-51	今夜は抱き合っているだけで安らぎと心地よさを感じられそう。
K-51	ベッドルームに花を飾り、セックスを楽しみたい想いを伝えよう。
L-51	仕事のストレスはベッドの中で幸福感を堪能してリフレッシュ。
A-52	今夜は気分が盛り上がって刺激的なプレイも楽しめそう。
B-52	ビデオや小道具でもっと大胆に刺激を取り入れてみて。
C-52	刺激的なセックスで絆がより強く。違ったプレイにトライしよう。
D-52	今夜は今までになく刺激的かも。ちょっとアブノーマルにして。
E-52	照明や香りなど雰囲気を変えるだけで満足感が倍になりそう。
F-52	リッチなホテルで過ごすと新鮮な気持ちがよみがえりそう。
G-52	お風呂で背中を流しあったり、ナイトウェアーを新調するのも吉。
H-52	マンネリならキッチンやバスルームで。違った快感が得られそう。
I-52	ベッドの位置やオブジェを変えてムードの演出をすると吉。
J-52	ロマンチックな気分が運気を上昇。内緒でホテルを予約して。
K-52	セックスへの好奇心が盛り上がる暗示。新開拓にチャレンジ。
L-52	寝室にナイトウェアや香水など新しいものを取り入れると吉。
A-53	いつものパターンにひねりを加えて。新鮮な発見がありそう。
B-53	コスチュームプレイやロールプレイでマンネリを打破しよう。
C-53	セックスレスの夫婦はいつもと違った場所ですると情熱的に。
D-53	今日のエッチでマンネリが解消されそう。ラブホテルが吉。
E-53	マンネリ気味ならノリでソフトＳＭを試してみるのも一つの手。
F-53	いつもとは違うテクや演出で新たな快楽や刺激を得られそう。
G-53	アルコールで気分を盛り上げてほのかな照明で愛し合って。
H-53	香りがセクシームードを高めてくれそう。ムスクの香水が吉。
I-53	より強いエクスタシーを感じたい日。違ったことをして満足を。
J-53	いつもとは違う狭い場所でセックスすると興奮度がアップしそう。
K-53	マンネリのセックスに不満が。して欲しい事を素直に伝えて。
L-53	赤ちゃんがほしいなら今夜はよさそう。いい情報が入ってきそう。
A-54	気持ちも体も溶け合ってのびのびとリラックスできるはず。
B-54	愛と性のバランスが取れている非常に穏やかでよい状態。
C-54	相手の喜びが自分の喜びに。相手に尽くすことで満足感が。
D-54	ボディに磨きをかけたり外見に気を配って吉。新鮮に戻れそう。
E-54	奉仕精神が幸運の鍵。相手が望むことをしてあげると情熱的に。
F-54	ベッドで出会ってから独身時代の甘い思い出を語りあうと吉。
G-54	久々に爽やかなセックスが体験できそう。二人の息もぴったり。
H-54	スキンシップ重視のセックスですがすがしい気分に。大満足。
I-54	二人の心が通い合うラッキーデー。いつもより情熱的に。
J-54	喧嘩中の二人ならセックスが仲直りのきっかけになりそう。
K-54	大事に思われていると実感できる優しい気持ちのセックスに。
L-54	セックスによって気持ちが潤う暗示。気持ちを素直に表現して。
A-55	少し強引になりすぎ。ひとりよがりにならないように注意。
B-55	強引で味気ないセックスになりがち。ムードを大切にするように。
C-55	スタミナがなくて気持ちが空回りしそう。気にしすぎないこと。
D-55	エゴイスティックなセックスを強要して二人の間に亀裂が。
E-55	自分本意になりがち。コミュニケーションを大切にすること。
F-55	気持ちが通わずイライラするかも。原因はあなたの方にありそう。
G-55	タイミングがイマイチ。あからさまなシラケ顔は喧嘩の元に。
H-55	情熱は高まっても相手のことはおざなりに。心配りを忘れずに。
I-55	互いの気持ちが通わずギクシャクと。相手を責めるのは禁物。
J-55	自分の勝手な思い込みで相手を不愉快にさせないように注意。
K-55	身勝手さが目立ちそう。あなたの人格への不信感につながるかも。
L-55	欲望が暴走しやすい暗示。トラブルをおこさないように要注意。
A-56	気分がのらなくても不機嫌に拒絶すると無用なケンカの元に。
B-56	セックスがストレスにつながる暗示。心から楽しめないかも。
C-56	よそよそしさを感じたら要注意。磨きをかけることも忘れずに。
D-56	自分の気持ちがコントロールできずに傷つくセックスをしそう。
E-56	身心の疲労でその気になれない。こんなときはうまく断ること。
F-56	相手の要求に応える気になれないなら、優しく説得して。
G-56	不満の残るセックスになりそう。ベッドでは余計な事は考えずに。
H-56	気持ちばかりが焦って思い通りにならないかも。心のゆとりを。
I-56	自分だけ盛り上がらずに相手の気持ちを汲み取ってあげるように。
J-56	倦怠感を覚えるかも。事務的に処理するなら優しく断ること。
K-56	疲れているせいか気乗りしない。不機嫌に拒絶しないように。
L-56	他人のセックスが気になって比べてみたり不満に思うかも。
A-57	疲れているなら控えた方が。義務と演技のセックスは白けそう。
B-57	不完全燃焼に。気持ちのすれ違いを見直すきっかけにして。
C-57	夫婦喧嘩をセックスで誤魔化さなず、きちんと向き合うように。
D-57	気がのらないのに無理するとプライドが砕け散るはめになるかも。
E-57	ワンパターンになりがち。あなたの情熱がかけているせい。
F-57	空しさが残るセックスはやめなさい。スキンシップや心を大切に。
G-57	セックスを夫婦の義務だと思わないように。リラックスすること。
H-57	精神的に疲れているよう。求められても無理はしない方が無難。
I-57	あなたの一言で伴侶はひどく傷つきそう。思いやりを忘れずに。
J-57	強迫観念にかられた義務のセックスでは快感を得ることは無理。
K-57	今日のセックスは義務的に。子供が欲しいならリラックス。
L-57	今日はセックスよりも精神的なつながりを大事にする方がよし。
A-58	セックスがらみのトラブル発生。誤解されないように要注意。
B-58	無責任なセックスが後で大きなトラブルに発展してしまう暗示。
C-58	強引でひとりよがりのセックスが原因で夫婦喧嘩になりそう。
D-58	公園で行きずりの情事など大胆な行動に出てしまう暗示あり。
E-58	あなたの強引さが目立ちそう。嫌がることを強要するのは禁物。
F-58	支配欲が旺盛になる日。ただし強引すぎると嫌われるはめに。
G-58	感情のおもむくままに求めがち。気持ちをセーブするように。
H-58	自分本意になりがち。ひとりで盛り上がっても虚しさが残るだけ。
I-58	相手が乗らないときは無理に迫らないように。信頼関係を大切に。
J-58	支配的になりがち。自分の要求だけでなく相手の意見も聞くこと。
K-58	風俗関係やセクハラなどのトラブルに巻き込まれる暗示あり。
L-58	アブノーマルなセックスに興味を。相手に無理強いは禁物。
A-59	衝動的に不倫する暗示。厄介事になるのでやめた方が無難。
B-59	セックスがらみで大失敗する暗示。ヒンシュクを買わない行動を。
C-59	魅力的な異性から思わぬお誘いが。ただし面倒な事になりそう。
D-59	日頃の欲求不満が大爆発！浮気してしまう危険な暗示あり。
E-59	浮気したい衝動にかられそう。実行するととんでもない悲劇に。
F-59	惹かれ合う相手が現れそう。でも今の伴侶を大切にするなら我慢。
G-59	不倫願望が高まっても衝動的な行動はトラブルを招く結果に。
H-59	伴侶以外の異性と怪しいムードに。修羅場にならないように注意。
I-59	魅力的な異性と好意を持ち合っても一線は超えないように。
J-59	深みにはまりそうな危険な不倫をやめるなら今日がチャンス。
K-59	危険な不倫の暗示。失うものはとても大きい。踏みとどまること。
L-59	強烈な不倫願望が。行動にうつすかどうかはあなた次第。
A-60	体も心も感じやすくなり、なにげない言葉で気持ちが昂ぶりそう。
B-60	アロマテラピーをしたセックスで心が解放されるような体験が。
C-60	思いやりのある会話と熱い抱擁が夫婦円満の鍵になりそう。
D-60	運気は好調。積極的に誘って思うがままに行動しても吉。
E-60	エネルギーに満ち溢れ、互いに深い愛を感じ合える日になりそう。
F-60	伴侶の変貌ぶりにドキリ。相手の魅力に身も心も陶酔しそう。
G-60	体も敏感になっている今日は伴侶からのお誘いが嬉しい。
H-60	互いの気持ちが十分に伝わり、満ち足りたセックスになりそう。
I-60	セックス運大吉。心も体も敏感になり最高の悦びを得られるはず。
J-60	心も体も開放的になり、気持ちのいいセックスが体験できる日。
K-60	最近ご無沙汰の夫婦も息のあった素敵なひとときが過ごせるはず。
L-60	今日はエネルギッシュで貪欲なセックスが積極的にできるはず。
A-61	いつになく貪欲になりそう。相手を思いやることを忘れずに。
B-61	度を越したセックスが体調や精神に悪影響を及ぼしそうな予感。
C-61	危険な関係に憧れるのはいいけれどのめり込まないように注意。
D-61	ムードに溺れやすく失敗しやすい。自分の気持ちにブレーキを。
E-61	セックスに強い刺激を求めがち。スキンシップを大切に。
F-61	セックスが面倒に。心を癒すセックスもあることを思い出して。
G-61	あなたの誘いを拒否されそう。相手の体調に敏感になってあげて。
H-61	浮気願望が高まりそう。伴侶を大事なら軽はずみな行動は厳禁。
I-61	セックスに快楽を求めすぎると返って相手をシラケさせることに。
J-61	せっかくのムードがあなたの失言で台無しに。もっと気を使って。
K-61	身も心も感度良好。ただしセックスのことばかり考えないように。
L-61	快楽に身をまかせてしまいたくなりそう。行きずりの恋もあり。
A-62	日々の慌ただしさでご無沙汰していた二人も今日はいい感じに。
B-62	のんびりとくつろいだ気持ちで愛を交わし、愛情の再確認を。
C-62	仕事や育児で疲れ果てていた人も今夜は恋人気分で楽しめそう。
D-62	セックス運は吉。リラックスして心の疲れが癒されそう。
E-62	外国のランジェリーや香水がラッキーアイテム。演出を効果的に。
F-62	恋人時代の思い出の品が二人の感度をぐっと刺激してくれそう。
G-62	いつもと違う愛し方を心がけてみると、新鮮な二人になれるはず。
H-62	お風呂関係の小物を変えてみると優しい気持ちのセックスに。
I-62	ソフトSMを使うなどいつもと違うセックスに興味が湧きそう。
J-62	ベッドの中でいつもは絶対口に出来ないような言葉を使ってみて。
K-62	今夜は妊娠できるチャンス。困る人は避妊するように要注意。
L-62	観葉植物を置くと優しいセックスが。マッサージもよい刺激に。
A-63	妊娠したいなら今夜がチャンス。すぐに結果が出なくても布石に。
B-63	ちょっとした刺激が夫婦生活に好影響を与えてくれそう。
C-63	ほんの少しのアブノーマルが今日は効果的に発揮されるかも。
D-63	倦怠気味の夫婦はストーリー仕立てのセックスがイイ刺激に。
E-63	ベッドでパートナーを喜ばせる工夫を。本音で話し合えるはず。
F-63	わざとすねて甘えてみては？新鮮な気持ちになれるはず。
G-63	セックスそのものよりさりげないスキンシップが吉を呼びそう。
H-63	セックスそのものよりもベッドでのおしゃべりがラッキーのカギ。
I-63	大人のお付き合いができそうな相手と知り合って胸がドキドキ。
J-63	好意を寄せている人と手が触れて、トキメキがよみがえりそう。
K-63	さりげない心配りが効果的。優しい愛撫を惜しまずにたっぷりと。
L-63	感じたまま素直に愛の言葉を口にすることで夫婦関係がアップ。
A-64	誘いをかけても今夜はやんわり断られてちょっとさみしいかも。
B-64	昼間のイライラを発散しようとするようなセックスはしないこと。
C-64	体も心も疲れきってセックスどころではない。早く元気になって。
D-64	自信満々で挑もうとしたら残酷な言葉で自尊心を傷つけられそう。
E-64	元気がないためセックスよりも優しく抱きしめてもらおう。
F-64	被害妄想に陥りがち。浮気を追求して一波乱おこりそう。
G-64	今日のセックスは不満足の暗示。味気ないセックスになりそう。
H-64	セックスの回数が減ったからといって浮気を疑うのは短絡的。
I-64	伴侶に誘惑の魔の手が伸びそう。かなり魅惑的な相手のよう。
J-64	セックスは心と体のコミュニケーションだと忘れないように。
K-64	今日は相手のノリがいま一歩。駄々をこねずに諦めが肝心。
L-64	妊娠のためのセックスは失敗に。義務的にならないように。
A-65	宝くじや投資などで思わぬ利益がありそう。気前の良さに吉アリ。
B-65	臨時収入や昇級が期待できそう！プレゼントされることも。
C-65	絶好調！勘が冴えるのでスピードくじにチャレンジしてみては。
D-65	最高の運気！気前よく、金は天下のまわり物。パーッといって吉。
E-65	ギャンブル運にツキがある日。思わぬ大金も？奢ってしまうと吉。
F-65	商談成立！みたいな大ラッキーの兆し。思い切って勝負に出て。
G-65	投資にツキあり。読みがズバリ当たり予想以上にイイ線いきそう。
H-65	ツキに恵まれる日。ギャンブルやリスクの高い投資も今日はＯＫ！
I-65	新たな事業を計画するのに最適な日。まとまったお金も入る暗示。
J-65	カンが冴える日。大金が動く物にツキあり。リスク大の物はパス！
K-65	絶好調！苦しい金策が解決したり、大口取引など嬉しい驚きアリ。
L-65	とにかくツイているはず。諦めかけた大仕事をゲットするかも。
A-66	友達や目上の人からラッキーがありそう。労少なく功多しの暗示。
B-66	努力が認められ報酬がうけられそう。素直に受けとりましょう。
C-66	労少なくして効多しの暗示。友達や同僚からオイシイ話あり。
D-66	宝くじや懸賞でラッキーの予感。お世話になった人へお返しを。
E-66	幸運が。時給アップや収入のイイ勤め先を紹介してもらえるかも。
F-66	抽選会や懸賞応募にツキが。クジ運のイイ友人との行動が吉。
G-66	資金運用にツキあり。少ない資金でも、大きな利益を得られそう。
H-66	タナボタ運のラッキーデー。いい仕事の紹介などオイシイ話アリ。
I-66	金運大吉！ピンチの時に救いの手アリ。割のイイ仕事もありそう。
J-66	良いスポンサーの出現や副収入があったりして、ラッキーな一日。
K-66	副収入や取引先の紹介等、周囲からの色々な援助が期待できそう。
L-66	もらった宝くじが当たったり、周囲からの援助がお金を運びそう。
A-67	有能なビジネスパートナーのお陰で、金運がぽんとアップしそう。
B-67	金銭面の良き協力者の暗示。きょうのオイシイ話は安全度が高い。
C-67	今までの頑張りが評価され、臨時手当や待遇アップの可能性大。
D-67	周囲の口添えで努力が金銭評価として返るかも。感謝の気持ちを。
E-67	交際費にお金がかかりそうな日。出し惜しまない方が吉。
F-67	つきあいでお金を使いそう。恋人へのプレゼントは奮発して吉。
G-67	不動産購入を考えている人は、専門家のアドバイスを受けてみて。
H-67	周囲の援助で救われる日。低利子でローンが組めたりとラッキー。
I-67	義理がらみの出費が多そう。見返りはＯＫ。後輩におごって吉。
J-67	先行投資にツキが。絵画や美術品を購入したり、交際費を有効に。
