A-1	絶好調！あなたの魅力が自然にこぼれて片想いも実る暗示。
J-33	大吉！今日のあなたはとってもセクシー。恋人はあなたに夢中。
K-33	最高のモテモテ運！大胆で情熱的なエッチが待っているでしょう。
L-33	積極的なアプローチで、初めての相手ともかなりの成功率が期待。
A-34	気持ちに正直になって吉。心も深くつながって大満足できるはず。
B-34	愛に満ちた幸福な時間を過ごせそう。ステキなエッチになる感じ。
C-34	愛に結びついたエッチの暗示アリ。二人の絆が深くなるでしょう。
D-34	エッチ要求の高い日。快楽に身を任せて相手をリードしましょう。
E-34	愛する喜びが肌で感じられそう。快感が相手にも伝わるでしょう。
F-34	肉体的に相性の良い相手との巡り会いが。身も心も満たされます。
G-34	念願の相手とベッドインできる可能性が高いラッキーデーです。
H-34	心も体もひとつになって、相手を愛しく感じることの出来る日。
I-34	心も体も満足いくエッチができそう。全身で愛してあげましょう。
J-34	恋人と甘くソフトな時間を過ごせそう。相手をもっと好きに。
K-34	気持ちに素直に行動して。心の体もピッタリ重なる至福の時間が。
L-34	カラダの奥から愛する幸せに満たされるはず。気持ちもシックリ。
A-35	順調です。ふたりのバイオリズムがぴったり重なるでしょう。
B-35	好きな人とカラダの波長がピッタリ合って、大満足できそう。
C-35	意中の人と自然な形で結ばれる絶好のチャンスです。相性もＯＫ。
D-35	思いを寄せる相手とベッドインの予感。素直な気持ちを伝えて。
E-35	セックスをスポーツ感覚で楽しめ、爽やかな汗を流せるでしょう。
F-35	お互いのリズムがピッタリの充実したエッチが出来るでしょう。
G-35	エッチによって二人の愛が深まる予感。ケンカも終わりラブラブ。
H-35	エッチがイイ気分転換になるみたい。不愉快な出来事もスッキリ。
I-35	心身ともにリラックスできるエッチに。肌のぬくもりを楽しんで。
J-35	精神的な満足感を得られる日。ただ抱き合っているだけでＯＫ。
K-35	肌の温もりに愛しさがわきしっとりした気持ちにさせてくれそう。
L-35	小さな子供が戯れ合うような、楽しくてカラリとしたエッチに。
A-36	リッチ＆ゴージャスな演出を。ソフトＳＭもおススメです。
B-36	場所やパターンを変えてみて。二人の関係がもっと深くなりそう。
C-36	お互いのカラダを知れば知るほど、離れられない存在になりそう。
D-36	エッチが色々なメリットを！元気にさせたり、感性を鋭くしたり。
E-36	ムードのある演出で気持ちが高まりそう。甘いピロートークもね。
F-36	エッチへの関心が高まる日。少々のアブノーマルな行為もＯＫ。
G-36	ベッドでは、ときには優しく、ときには大胆に振る舞ってみて。
H-36	高嶺の花を落としたいなら、からめ手から攻める方が成功しそう。
I-36	その気にさせるには、ホメちぎり作戦が効果大。テレないで。
J-36	マンネリ気味のカップルは、時間をかけて愛し合うとハッピー。
K-36	ちょっとした冒険がハッピーエッチの鍵。無理のない範囲でね。
L-36	大人の色香を演出すると吉。一流ホテルで贅沢に楽しみましょう。
A-37	いつものパターンにひねりを加えて。ほんの少しの冒険に吉が。
B-37	肌の触れ合いや語らいが、今日のポイント。愛情が高まり大満足。
C-37	いつもとは違った環境が、刺激的なエッチへのカギになりそう。
D-37	マンネリ感のある人は、下着や香水を変えると刺激的になれそう。
E-37	いつも以上のサービス精神が、お互いの情熱を高めてくれそう。
F-37	いつもとは違う演出やテクで、新たな快感や刺激を得られそう。
G-37	マンネリ気味の二人には刺激が必要。大胆なラブシーンの映画は？
H-37	エッチへの関心が高まる日。クラブやＤＪバーなどで出会えそう。
I-37	恋人がやけにセクシーに見える日。新しいテクで、より刺激を。
J-37	いつもとは違う場所での、エッチがおすすめ。未知の快感アリ。
K-37	エッチにマンネリを感じてしまうかも。盛り上げる気配りを。
L-37	探求心が旺盛になりそう。相手がどうしたら喜ぶのか、研究して。
A-38	最初にマッサージし合うと吉。のびのびとリラックスできるはず。
B-38	快楽のために、衝動的に行きずりの人と寝てしまう危うい暗示。
C-38	感じたままの素直な言葉を口にすると、二人の距離が縮まりそう。
D-38	マッサージをしてあげたりすると、ムードも高まり楽しめそう。
E-38	スキンシップを大切に。テクよりも温もりを感じる優しい愛撫を。
F-38	明るく軽いノリでエッチを楽しめそう。ゲームのあるホテルが吉。
G-38	セクシーな異性を紹介してもらえるかも。ベッドインの可能性も。
H-38	気になるあの人とベッドインのチャンス！さり気なく誘って。
I-38	エッチ友達が登場しそう。割り切って楽しむイイ関係になれそう。
J-38	爽やかなエッチができそう。ＨＯＷ　ＴＯ本で一緒にお勉強して。
K-38	気持ちがリラックスして、スポーツ感覚でエッチを楽しめそう。
L-38	そっと抱きしめていたわるような、優しさあふれるエッチが吉。
A-39	気持ちがかみ合わず、お互いに少し不機嫌になってしまうかも。
B-39	相手の要求に合わせすぎて、ミジメな気分を味わってしまうかも。
C-39	今日のエッチは少し物足りなさを感じるかも。心の満足を大切に。
D-39	雰囲気に流されて無自覚なセクハラで不愉快な思いを味わいそう。
E-39	強引すぎると相手がシラケそう。相手の反応にも気を配ってね。
F-39	親友や知人の恋人とベッドインするかも。でも後ろめたさが…。
G-39	二人の気持ちにズレがありそう。相手の気持ちに敏感になってね。
H-39	独占欲がむき出しになりそう。相手のペースや気持ちを考えてね。
I-39	今日のあなたは強引に迫っても、拒否される可能性が大でしょう。
J-39	成り行きでベッドインする可能性大。でも、避妊は忘れずに。
K-39	今日のエッチは多少難アリの星回り。もどかしい思いをするかも。
L-39	強引すぎないように口説いて。情熱が高まりすぎてアンバランス。
A-40	取引めいた不純な匂いが…。純な気持ちを忘れないこと。
B-40	緊張感や罪悪感が強くてエッチが楽しめないかも。話し合ってね。
C-40	味気ないエッチで疲労感を味わうことに。さり気なく断って賢明。
D-40	ストレスからエッチ意欲がわかないかも。何もせず添い寝が一番。
E-40	今日は、その気になれないかも。不完全燃焼で終わりそうな感じ。
F-40	ベッドの上では、たとえ演技でも自信タップリを装ってみて。
G-40	心配事のせいか、ベッドの中でも上の空…。気持ちを切り換えて。
H-40	今日のエッチは情熱的な気分が欠けがち。余計な事は考えないで。
I-40	相手に不信感を抱いてしまいそう。ベッドインしても虚しいだけ。
J-40	エッチの最中に嫌な事を思い出しそうな気配。シラケさせないで。
K-40	今日のエッチは、義務と演技の暗示が濃厚。冷ややかな雰囲気が。
L-40	今日のエッチには義務と責任がついてまわりそう。結婚や妊娠も。
A-41	自信喪失の暗示が。ノリ気でないエッチはさけた方が無難です。
B-41	エッチ批評は禁物！不用意な一言で、相手を深く傷つけるかも。
C-41	不感症気味で、エッチに自信をなくしそうな暗示。今日は軽くね。
D-41	愛のないセックスは傷つけるだけ。そんな人には深入りしないで。
E-41	義務感の伴うセックスは虚しいだけ。いつも通りの自然体でね。
F-41	きょうのあなたは、パワー不足。ベッドインはパスした方が賢明。
G-41	あなたはその気でも、相手はイマイチの暗示。きょうは失敗かも。
H-41	エッチに義務感を感じてシラけるかもね。プラトニックデートを。
I-41	マンネリ気味の二人は、エッチもおざなり。ケンカになるかも。
J-41	自分の体やテクにコンプレックスを感じそう。ハートでカバー。
K-41	今日はツイていない事を覚悟。何か劣等感を味わいそうな暗示。
L-41	嫌われたくないからと無理しそうな暗示。エッチに自信がないの？
A-42	ガツガツとカラダだけを求めてしまいそう。トラブルの暗示アリ。
B-42	ムードがなさすぎて相手はゲンナリ…。カラダだけが目的？
C-42	強引な態度は禁物！支配欲が強いので、気持ちを押さえ気味に。
D-42	一方的なアプローチはトラブルの元。勝手に盛り上がらないよう。
E-42	自分だけの快楽を追求してしまいそう。相手の気持ちになってね。
F-42	快楽を求めアブノーマルな世界を体験しそうな暗示。罠にご用心。
G-42	独占欲がむき出しになる暗示。サディスティックになりそうな…。
H-42	エッチへの欲求が高まりますが、満足な結果は得られないみたい。
I-42	情熱的な気持ちが高まっていますが、少々強引すぎる傾向も。
J-42	あなたの態度が相手を傷つけるかも。今日のエッチはいたわりを。
K-42	ワガママなエッチを強要しそうな感じ。自分の快感だけではダメ。
L-42	理性が欲望に負けそう。イケナイ相手と衝動的にベッドインかも。
A-43	強引な誘いがありそうです。ただし、強烈な後悔もセットのよう。
B-43	今日のエッチは要注意。ストーカーまがいのトラブルがあるかも。
C-43	新しい刺激を求めてしまいそう。今日の浮気は発覚する可能性大。
D-43	強烈な快楽を体験できるかも。でも、薬物など破滅の暗示アリ。
E-43	大胆に誘惑されそうな気配アリ。相手は危険人物だから、要注意！
F-43	エッチに物足りなさを感じそう。行きずりの人とは必ず後悔が。
G-43	恋人以外の異性に、欲望を感じそうな予感。でも、手出しは禁物。
H-43	危険な匂いのする相手に強く魅かれそう。今日は慎重に行動を。
I-43	誘惑される暗示。でも、フタマタの可能性大。逃げた方が賢明。
J-43	初対面の人と、一線を越えてしまう暗示が。誘惑に負けないで。
K-43	今日のエッチは危険な香りが。幸福な恋愛関係にはならない…。
L-43	今日のエッチには、かなりの毒が潜んでいることを覚悟して。
A-44	なにげない表情や仕草がとってもセクシー。モテモテの暗示です。
B-44	映画みたいなロマンティックな誘惑がありそう。メイクラブもね。
C-44	お互いに好みのサービスができそう。たっぷりと時間をかけて吉。
D-44	好奇心がラッキーポイント。新しいテクを大胆にチャレンジして。
E-44	ついにベッドインできそう。ムード作りでくどき落としましょう。
F-44	心もカラダも開放的になり、満足度の高いエッチを体験できそう。
G-44	心が通い合うエッチになりそう。夜空が美しい場所がラッキー。
H-44	ベッドでの甘いささやきが気持ちを高めてくれそう。映画の様に。
I-44	ラブロマンスみたいに、ロマンチックなエッチを味わえるかも。
J-44	エッチの相性が抜群の相手と、ベッドインしそう。強い快感アリ。
K-44	妖しい魅力が漂い、異性からの反応がとても好意的になるはず。
L-44	あなたのひたむきな思いが通じ、好きな人と初エッチの可能性大。
A-45	雰囲気に流されると後悔しそうです。ノー！はハッキリと。
B-45	大好きなのに心もカラダも満たされず欲求不満に終わる可能性大。
C-45	エッチが原因でケンカに。何でもない事が無神経に感じられそう。
D-45	身体が感じないのはサヨナラかも。心のすき間は身体じゃダメ。
E-45	欲望がストレートで、愛情表現が過剰になりがち。心のゆとりを。
F-45	欲望に負け、好きでもない相手とベッドインしても虚しいだけ。
G-45	相手のペースに流され優柔不断に。後悔しないよう避妊は完璧に。
H-45	恋人以外に、強く魅力を感じる相手が現れそう。バレる恐れあり。
I-45	ベッドの上で、誰かと比較するような言葉は禁物。怒らせそう。
J-45	相手にバリエーションを強要すると、人格を疑われそう。程々に。
K-45	ソノ気のない相手とベッドインしかねない暗示。意志をハッキリ！
L-45	今日のキーワードは、余裕。相手の気持ちやペースに合わせてね。
A-46	「探求心」がきょうのキーワード。ただし、やり過ぎは逆効果に。
B-46	お互いに愛情が深まるようなエッチになるでしょう。焦らずに。
C-46	警戒心が強い人も、今日は素直に心まで裸になれそう。楽しんで。
D-46	今日は、久々のエッチが期待できそう。愛を確かめあってね。
E-46	今日のエッチのポイントは、思いやりをカラダで表現すること。
F-46	ちょっとスノッブに気取ったデートが効果的。リッチなホテルで。
G-46	今日はエッチへの抵抗感が少なくなり、ワンナイトラブなんてね。
H-46	エッチ感度が高い日。少し違ったシチュエーションがラッキー。
I-46	新しい感覚に目覚めるかも。恥ずかしがらずお互いに開発して。
J-46	オススメは、ナイン・ハーフみたいな世界。相手も応じるはず。
K-46	今日は積極的にエッチを楽しんで吉。何か新しい発見があるはず。
L-46	ベッドの中で思いきり甘えちゃいましょう。相手も嬉しいはず。
A-47	愛する人の肌の温もりが、あなたの心を優しく癒してくれるはず。
B-47	今日は、思いきり演出に凝ってみて。小道具や下着、楽しんでね。
C-47	新しい相手に出会えるかも。エッチまでストレートに進みそう。
D-47	今日のエッチに気合いを入れてみて。二人を活発にしてくれそう。
E-47	ぎこちなくても二人が自然に求めるエッチがラッキーを呼びます。
F-47	初エッチのチャンスかも。自然な成り行きで結ばれるでしょう。
G-47	なかなか進展しなかった相手と身体の距離が近くなりそうな暗示。
H-47	仕事中でも妄想が駆け巡るような、セクシーな異性と出会う暗示。
I-47	下ネタ話をベッドに反映させると、明るいエッチになるでしょう。
J-47	二人のリズムがよく合って自然に快感を登りつめられるでしょう。
K-47	なかなか好調。今日初エッチを迎えるときっと素敵な思い出に！
L-47	あんまりテクニシャンだと、あらぬ誤解を受けることになります。
A-48	セクハラまがいに馴れ馴れしい人物の暗示が。無視するのが一番。
B-48	タイプではない人とベッドインして、苦い後悔を味わうかも。
C-48	カラダだけの関係を持ってしまいそう。腐れ縁への坂道一直線。
D-48	かなり発情気味。セックスアピールを感じすぎて困っちゃいそう。
E-48	自分の欲望に振り回されてしまいそうな暗示。余裕のエッチを。
F-48	エッチなしでくつろぐ方が、きょうのあなたには必要かもね。
G-48	調子がイマイチで、気分が乗らなくてサエないエッチになりそう。
H-48	身勝手に盛り上がってちぐはぐなエッチに。ペースダウンを意識。
I-48	今日のあなたはちょっと悪魔。身勝手なエッチをしたくなりそう。
J-48	気の進まないエッチになりそうな暗示。無理せずノーが賢明かも。
K-48	セクハラ系のトラブルの暗示。ヘンに誤解されることもありそう。
L-48	いまいちパッとしないよう。エッチへの自信をなくすような事が。
A-49	大胆な刺激を積極的に楽しめ別人のように、情熱的になれる暗示。
B-49	初めての時のような情熱と愛情で、カラダも心も大満足しそう。
C-49	情熱が高まり愛情豊かなセックスができそう。気持ちもしっかり。
D-49	活力がみなぎり、自分でも驚くほど大胆にセックスが楽しめそう。
E-49	セクシーな魅力にあふれ情熱的に愛しあえそう。大胆にアピール。
F-49	相手の積極的なアプローチに驚かされそう。最高の気分を満喫。
G-49	今日のあなたはエネルギー全開！思う存分愛を確かめ合ってね。
H-49	イキイキした気分になれる好調日。より情熱的に愛しあえそう。
I-49	長年連れ添っている二人にも、リフレッシュの暗示が出ています。
J-49	今日のあなたはとってもセクシー。相手から強くアプローチあり。
K-49	大ラッキーな星回り。セックスレスの二人も復活のイイきっかけ。
L-49	今日のあなたはとてもセクシー。遠ざかっていた夫婦生活も復活。
A-50	のびのびと愛を交わし、いたわり合って深い満足が得られるはず。
B-50	めくるめく様なベッドタイムが期待できそう。大胆にリードして。
C-50	セックスで、あなたの魅力が引き出される暗示。欲望のままに。
D-50	セックスによってパートナーとの関係が好転。いたわり合ってね。
E-50	パートナーと相性がバツグンの日。思いきり甘えちゃいましょう。
F-50	大自然の懐に抱かれている様な心地よいセックスが体感できそう。
G-50	満ち足りた気分を味わえそう。この人と結ばれてよかった…と。
H-50	コミュニケーションがバツグンの日。ロマンチックな気分に…。
I-50	今日のセックスは、満たされた安らぎと、幸福感を味わえそう。
J-50	理想的なセックスが出来る日。気持ちもタイミングもピッタリ。
K-50	夫婦の絆がセックスによって、しっかり結ばれる暗示。大満足！
L-50	二人の相性、タイミング共にピッタリ。語らいで心の絆を再確認。
A-51	濃厚な香りや下着に凝ってみるのもグッド。演出が効果絶大！
B-51	多少の気持ちのすれ違いも、今日のセックスで解消されるはず。
C-51	相手を包み込むような優しさが幸せの鍵。コウノトリの可能性も。
D-51	音楽や香り、目隠しなどでグッと濃厚なセックスが楽しめそう。
E-51	セックスで心も体もリフレッシュ！イライラも吹き飛ばせそう。
F-51	快楽よりも精神的悦びが、心と体に好影響を与えてくれるはず。
G-51	心が通い合い、ラッキー。自分の要求にタップリ応えてくれそう。
H-51	セックスの相性が良い日。サービス精神を発揮すると、より満足。
I-51	リズムがピッタリで、心から楽しめるセックスに。テクの研究を。
J-51	ただ抱き合っているだけで、安らぎと心地よさを感じられるとき。
K-51	ベッドルームに花を飾るなどの演出がラッキー。気持ちを伝えて。
L-51	ストレスのたまっている人は、ベッドでリフレッシュできそう。
A-52	気分が盛り上がって、刺激的なプレイが楽しめそう。遊び感覚で。
B-52	ビデオや小道具で、夜の生活に刺激を取り入れてみてはいかが？
C-52	冒険を楽しむように、刺激的なセックスが絆を強めてくれそう。
D-52	今までにない刺激的なエッチかも。ちょっとアブノーマルにして。
E-52	部屋の照明や花などで、ムードが高まり、満足感が倍になりそう。
F-52	たまにはリッチなホテルで過ごしてみては？マンネリ感も一新。
G-52	お風呂で背中を流しあったり、ナイトウェアーを新調するのも吉。
H-52	キッチンやバスルームではいかが？違った快感が得られるはず。
I-52	ベッドの位置や、オブジェを変えたりしてムードの演出をして吉。
J-52	ロマンチックな気分が、運気を上昇。内緒でホテルを予約して。
K-52	セックスへの好奇心が盛り上がる暗示。新境地を開拓してみて。
L-52	寝室に何か新しいものを取り入れると吉。小さな変化で、効果大。
A-53	今日は、少しだけ変化球を加えてみて。新鮮で新しい発見アリ。
B-53	コスプレを試してみては？きっと新しい感覚が目覚めるはず。
C-53	ちょっとご無沙汰のカップルは、いつもと違った場所で情熱的に。
D-53	マンネリ感があれば今日のエッチが解決しそう。ラブホテルが吉。
E-53	マンネリ気味の夫婦は、ノリでソフトＳＭを試してみてはいかが？
F-53	ちょっと違ったテクで新しい刺激。アダルトショップもオススメ。
G-53	少量のアルコールやほんのり灯した明かりで、気分を盛り上げて。
H-53	香りがセクシームードを高めてくれそう。ムスクの香水で大胆に。
I-53	より強いエクスタシーを感じたい日。新しいテクや、小道具でね。
J-53	いつもとは違う狭い場所が今日のオススメ。興奮度が高まります。
K-53	セックスに不満を感じるかも。して欲しいことを素直に伝えて。
L-53	マンネリ気味のカップルには、ＡＶがイイ刺激になりそう。
A-54	気持ちもカラダも溶けあって、思いやりの気持ちが湧いてきます。
B-54	愛と性のバランスがとれている穏やかな状態。快感も愛情次第。
C-54	きょうは、とにかく尽くして吉。大きな満足感が得られます。
D-54	ボディに磨きをかけたり外見に気を配って吉。新鮮な二人に…。
E-54	奉仕精神が幸運の鍵。相手が望む事をしてあげると、燃えるはず。
F-54	ピロートークが効力を発揮。独身時代の甘い思い出を語ってみて。
G-54	久々に爽やかなセックスが体験できそう。息もピッタリで満足。
H-54	セックスですがすがしい気分。快楽よりもスキンシップで満足を。
I-54	二人の心が通い合う、ラッキーデー。より情熱的に愛し合えそう。
J-54	満たされた気持ちになれそう。ケンカ中でも、セックスで仲直り。
K-54	優しい気持ちで、大事に思われていると実感できるセックスに。
L-54	セックスによって気持ちが潤う暗示。気持ちを素直に表現して。
A-55	ちょっと強引になりすぎるかも。相手の気持ちを考える余裕を！
B-55	強引で味気ないセックスになりがち。ムードを大切にしてね。
C-55	情熱はあるのにスタミナがイマイチ。思うようにならないかも。
D-55	エゴイスティックなセックスを強要しそう。亀裂が入るかも。
E-55	自分本位になりがちな日。もっとコミュニケーションを大切に。
F-55	気持ちが通わずイライラ。それは、あなたに原因アリ。悦ばせて！
G-55	情熱はあってもタイミングがいまひとつ。シラケ顔はケンカの元。
H-55	情熱はあっても、相手のことはおざなりになりがち。心配りを！
I-55	ギクシャクした雰囲気になりそう。相手を責めるのは禁物ですよ。
J-55	デリカシーが要求される日。相手を不愉快にさせないように。
K-55	身勝手が過ぎるとあなたの人格への不信感につながりそう。注意！
L-55	セックスに関係したトラブルに注意！欲望が暴走しやすい暗示。
A-56	気分が乗らないからといって、不機嫌な拒絶は無用なケンカの元。
B-56	義務感や責任感がつきまとい、セックスがストレスになる暗示。
C-56	結婚していても、セックスに磨きをかけることを忘れないで。
D-56	自分で自分を傷つけるようなセックスに走ってしまう危険も、大。
E-56	疲労感からソノ気になれない日。不愉快にさせないように断って。
F-56	相手の要求をいきなり拒絶すると夫婦関係にヒビが。優しく説得。
G-56	不満の残るセックスになりそう。ベッドでは余計な事は考えずに。
H-56	気持ちが焦り体は思い通りにならないかも。心のゆとりを持って。
I-56	自分ばかりが盛り上がっているのでは…。相手の気持ちを考えて。
J-56	セックスに倦怠感を覚えるかも。気が乗らないなら優しく断って。
K-56	疲れのせいか、ソノ気にならないようです。不機嫌な拒絶はＮＧ。
L-56	頻度や時間、他人のセックスが気になるかも。比べても意味ナシ。
A-57	義務と演技で白けたムードになりそう。疲れていたらやめて正解。
B-57	リズムが合わず不完全燃焼に終わりそう。関係を見直してみて。
C-57	夫婦喧嘩をセックスで誤魔化すのは考え物。気まずい思いの暗示。
D-57	きょうのエッチは少し気がのらないかも。プライドがズタズタに。
E-57	義務感だけのセックスでは。お互いに満足感は得られません。
F-57	セックスに虚しさが残りそう。スキンシップや心の絆も大切にね。
G-57	義務と演技のセックスになってしまいそう。気持ちをリラックス！
H-57	精神的に疲れていてセックスも事務的になりがち。無理しないで。
I-57	あなたの一言が、パートナーを傷つけてしまいそう。思いやりを。
J-57	相手を悦ばせなければという強迫観念にかられそう。リラックス！
K-57	今日は義務感が伴ったセックス。コウノトリ待ちの二人は気楽に。
L-57	セックスへの情熱が不足気味です。精神的なつながりを大事に。
A-58	セックスがらみのトラブルを起こしやすい日。誤解されない様に。
B-58	無責任なセックスが、後で大きなトラブルに発展しそうな暗示。
C-58	強引で、独りよがりのセックスが原因で、夫婦喧嘩になるかも。
D-58	信じられないほど大胆な行動の暗示。行きずりの情事や映画の様。
E-58	強引さが目立ちそう。相手の嫌がることを強要するのは禁物。
F-58	相手が拒否しているのに、強引に誘うのは逆効果。心が離れます。
G-58	感情の赴くままに求めそう。気持ちをセーブして、時間をかけて。
H-58	自分本位になって相手に無理強いをしないで。虚しさが残るだけ。
I-58	無理に迫っては、信頼関係にまで響きそう。我慢して寝ましょう。
J-58	相手に対して、支配的になりがち。相手のお願いも聞いてあげて。
K-58	風俗関係やセクハラなど、洒落にならないトラブルの暗示。注意！
L-58	アブノーマルなセックスに、興味がわきそう。無理強いはＮＧ。
A-59	衝動的に不倫に走るキケンあり。でも、厄介事のタネという暗示。
B-59	セックスがらみで大失敗の暗示。なりふり構わず大ヒンシュク。
C-59	魅力的な異性からお誘いがあるかも。イイ気になると面倒な事に。
D-59	欲求不満が大爆発！アバンチュールに身をゆだねる危険な暗示。
E-59	パートナー以外の人とベッドインしたい衝動。実行すれば悲劇が！
F-59	強烈に魅かれ合う人が現れそう。今が大事なら一線は越えないで。
G-59	不倫願望が高まっています。衝動的な行動はトラブルを招く事に。
H-59	パートナー以外の異性と妖しいムード。修羅場への一本道。注意！
I-59	魅力的な異性と出会う予感。でも、ベッドインには大きな代償が。
J-59	不倫にどんどんはまる危険な暗示。手を切るなら今日がチャンス。
K-59	危険な不倫の暗示が濃厚に出ています。失うものはとても大きい。
L-59	強烈な不倫願望がわきそう。魅力的な異性も登場。代償を覚悟。
A-60	言葉や仕草だけでカラダも心も、とても感じやすくなっています。
B-60	アロマテラピーを取り入れてみて。爽やかなセックスができそう。
C-60	思いやりのある会話とあつい抱擁が、夫婦円満のカギになります。
D-60	運気は好調。自分から積極的に誘って、思うままに行動して吉。
E-60	長期戦のセックスが楽しめる、深い愛を感じる、ラッキーな一日。
F-60	セクシーな相手の魅力に身も心も陶酔し、今までにない悦びが。
G-60	お誘いが嬉しく感じられる日。体も敏感になって大きな満足感を。
H-60	お互いの気持ちが十分に伝わり満ち足りたセックスを体験しそう。
I-60	セックス運大吉！心も体もかなり敏感。最高の悦びを感じます。
J-60	心も体も開放的で気持ちいいセックスができそう。大胆になろう。
K-60	なかなかのラッキーデー。最近ご無沙汰の二人も、素敵なときを。
L-60	最近元気がない人も今日はエネルギッシュでどん欲なセックスが！
A-61	エッチ願望が高まる暗示。相手のペースを思いやる事を忘れずに。
B-61	度を越したセックスが体調や精神に悪影響を及ぼしそう。程々に。
C-61	不倫願望が高まる暗示。ヤケドと、危ない病気関係にも注意！
D-61	ムードに溺れやすく、セックスがらみで失敗しやすい日。注意！
E-61	セックスに強い刺激を求めがちな日。スキンシップで愛情表現を。
F-61	セックスが面倒に。心を癒すセックスもあることも思い出して。
G-61	あなたの誘いをモロに拒否されそう。疲れのせい、気を配ってね。
H-61	浮気願望が高まりそう。迫る異性がいても、軽はずみは、ＮＧ。
I-61	気持ちにアセリがありそう。快楽を求めすぎるとシラケさせます。
J-61	いいムードがあなたの失言で台無し。メンタルな部分を大切にね。
K-61	身も心も感度良好。何でもセックスに結びつけて受け取りそう。
L-61	快楽を追求する願望が強まりそう。行きずりの人とベッドインも。
A-62	疲れ気味の二人も、今日はかなりイイ感じ。久しぶりね、なんて。
B-62	のんびりとくつろいだ気持ちで、愛情の再確認ができそう。
C-62	毎日クタクタの人でも、今日は何やらピンクな気分。恋人気分で。
D-62	きょうのセックス運はなかなかグッド。心の疲れが癒されそう。
E-62	夫婦生活をリフレッシュ！輸入物のランジェリーや、香水が吉。
F-62	恋人時代の思い出の品が、二人の感度をぐっと刺激してくれそう。
G-62	今日のセックスは変化に吉運が。いつもとは違った愛し方で。
H-62	入浴剤などのお風呂用品を変えては？優しい気持ちのセックスに。
I-62	いつもとは違ったセックスに興味が。ソフトＳＭで遊び心を刺激。
J-62	ベッドで、いつもは絶対に口にできないような言葉を使ってみて。
K-62	コウノトリ待ちの二人には、チャンス。そうでなければ避妊を。
L-62	観葉植物を置くと優しい気持ちに。セックスレスならマッサージ。
A-63	コウノトリ待ちのカップルには、今日はちょっとチャンスかも。
B-63	ソフトなアダルトビデオで、ちょっとした刺激を！好影響かも。
C-63	ホンの少しのアブノーマルが、今日はとっても効果的かもね。
D-63	倦怠気味のカップルはストーリー仕立てのエッチがイイ刺激に。
E-63	ベッドでパートナーを喜ばせる工夫が、ラッキーを呼びます。
F-63	今日の媚薬はかわいらしいジェラシー。わざとすねて甘えてみて。
G-63	さり気ないスキンシップが、今日のラッキーを呼ぶでしょう。
H-63	ベッドでの語らいがラッキーの鍵。肌を触れ合う感覚がイイ感じ。
I-63	大人の関係でいられる相手と出会いが。パソコン通信がラッキー。
J-63	何となく忘れかけていた、トキメキがよみがえってきそうです。
K-63	心配りが効果的。ホメ言葉や優しい愛撫をおしまず、タップリ。
L-63	今日のラッキーは、愛の言葉。素直に言葉にする事でスムーズに。
A-64	誘いをかけても、相手にすげなくされて、ションボリの暗示。
B-64	イライラをベッドで発散させないで。相手を傷つけてしまいそう。
C-64	カラダも心もグッタリで、今日のセックスは、ゴメンナサイ。
D-64	つまみ食いは危険。残酷な言葉でプライドがズタズタになりそう。
E-64	身も心も元気が出ないかも。優しい抱擁やいたわりの言葉が必要。
F-64	被害妄想的かな？セックスがらみで、一波乱ありそうな感じ。
G-64	今日のセックスは残念ながら不満足の暗示。味気ないエッチに…。
H-64	少々ヤキモチ気味に。セックス回数が少ないと疑うのは短絡的。
I-64	パートナーに誘惑の魔の手が。相手はかなりテクニシャン。注意！
J-64	今日のあなたは、相手に対して身勝手なセックスを強要しそう。
K-64	自分はヤル気満々でも相手のノリが悪くガッカリ。諦めましょう。
L-64	今日はいまひとつ。義務感が強すぎて気持ちに余裕がないかもね。
A-65	宝くじや投資などで思わぬ利益がありそう。気前の良さに吉アリ。
B-65	臨時収入や昇級が期待できそう！プレゼントされることも。
C-65	絶好調！勘が冴えるのでスピードくじにチャレンジしてみては。
D-65	最高の運気！気前よく、金は天下のまわり物。パーッといって吉。
E-65	ギャンブル運にツキがある日。思わぬ大金も？奢ってしまうと吉。
F-65	商談成立！みたいな大ラッキーの兆し。思い切って勝負に出て。
G-65	投資にツキあり。読みがズバリ当たり予想以上にイイ線いきそう。
H-65	ツキに恵まれる日。ギャンブルやリスクの高い投資も今日はＯＫ！
I-65	新たな事業を計画するのに最適な日。まとまったお金も入る暗示。
J-65	カンが冴える日。大金が動く物にツキあり。リスク大の物はパス！
K-65	絶好調！苦しい金策が解決したり、大口取引など嬉しい驚きアリ。
L-65	とにかくツイているはず。諦めかけた大仕事をゲットするかも。
A-66	友達や目上の人からラッキーがありそう。労少なく功多しの暗示。
B-66	努力が認められ報酬がうけられそう。素直に受けとりましょう。
C-66	労少なくして効多しの暗示。友達や同僚からオイシイ話あり。
D-66	宝くじや懸賞でラッキーの予感。お世話になった人へお返しを。
E-66	幸運が。時給アップや収入のイイ勤め先を紹介してもらえるかも。
F-66	抽選会や懸賞応募にツキが。クジ運のイイ友人との行動が吉。
G-66	資金運用にツキあり。少ない資金でも、大きな利益を得られそう。
H-66	タナボタ運のラッキーデー。いい仕事の紹介などオイシイ話アリ。
I-66	金運大吉！ピンチの時に救いの手アリ。割のイイ仕事もありそう。
